Id_estacio;Nom_Est;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Porc_datos;Celda_XY;Cant_Est;departamento;municipio;AH;ZSZH;Longitud;Latitud;vereda;SUBREGION
11010010;VUELTA LA [11010010];49;84;94;80;87;64;43;97;97;17;3;34;37;50;17;46;59;69;43;76;2;77;100;84;77;16;55;21;48;14;94;48;78;77;32;11;88;79;19;88;27;30;3;74;91;60;59;12;92;21;87;71;78;(3-4);5;Chocó;Cértegui;Caribe;DariénRíoAndágueda;4607248;2162361;SIN DEFINIR;
11020010;CARMEN DE ATRATO [11020010];81;77;18;61;99;41;21;47;50;54;27;50;73;5;56;98;94;81;21;9;27;93;36;33;53;75;61;61;73;96;93;79;14;83;96;38;91;41;7;50;41;8;76;25;59;95;91;75;81;71;23;90;100;(4-5);12;Chocó;ElCarmen;Caribe;DariénAltoAtrato;4652177;2211864;LA ARGELIA;
11020020;GUADUAS [11020020];75;32;81;14;64;91;31;10;40;89;89;75;44;57;21;14;3;43;25;36;43;19;71;94;77;9;60;25;16;32;100;28;41;46;31;26;46;59;89;66;59;99;11;88;7;84;27;11;5;48;92;71;42;(3-4);5;Chocó;ElCarmen;Caribe;DariénAltoAtrato;4647518;2196191;EL 10;
11020050;PINON EL [11020050];79;95;44;78;28;92;12;79;21;21;24;37;7;6;75;50;57;61;75;92;68;23;87;29;39;36;9;32;54;69;63;49;50;70;2;92;9;75;25;89;21;34;3;43;29;52;52;38;72;61;55;7;95;(3-4);5;Chocó;ElCarmen;Caribe;DariénAltoAtrato;4640027;2195237;CAUDUAS;
11025010;MANSA LA [11025010];17;15;16;1;11;32;48;41;70;10;88;79;42;11;51;4;82;0;40;3;43;73;13;93;44;44;87;53;32;37;2;97;86;25;5;1;25;26;50;19;33;65;19;83;48;65;68;88;7;5;5;86;91;(4-5);12;Antioquia;CiudadBolivar;Caribe;DariénAltoAtrato;4658558;2208484;MONTE LORO;
11030010;CERTEGUI [11030010];33;8;52;51;75;86;40;5;46;89;8;73;8;4;16;32;85;77;41;44;7;21;91;67;86;10;6;19;90;87;66;21;33;43;26;71;46;66;46;59;100;79;69;99;26;13;23;8;13;26;55;25;94;(3-3);7;Chocó;Cértegui;Caribe;DariénRíoQuito;4599605;2153115;CERTEGUI;
11030030;MANAGRU [11030030];96;51;87;9;69;93;89;41;12;28;21;21;50;52;33;19;84;98;3;94;98;14;30;23;26;14;55;70;24;66;30;84;74;80;67;63;12;32;97;34;3;4;46;12;64;16;59;72;45;92;42;54;72;(2-3);6;Chocó;ElCantónDelSanPablo(Managrú);Caribe;DariénRíoQuito;4586813;2148667;MANAGRU;
11030040;PAIMADO [11030040];98;0;2;45;35;32;43;11;63;66;59;43;66;89;4;6;48;91;34;48;22;65;31;88;47;68;91;37;87;83;71;23;82;30;0;10;67;81;50;23;26;67;35;76;56;61;10;81;93;87;38;17;76;(3-3);7;Chocó;RioQuito(Paimadó);Caribe;DariénRíoQuito;4585501;2165002;SIN DEFINIR;
11035010;LLORO [11035010];49;53;47;71;30;66;63;47;25;69;96;87;24;42;8;52;26;42;69;64;51;81;72;98;91;6;84;89;41;34;21;1;44;31;63;60;31;43;86;90;69;74;14;3;91;23;73;20;20;14;0;97;66;(3-4);5;Chocó;Lloró;Caribe;DariénRíoQuito;4603368;2168036;SIN DEFINIR;
11035020;SAN ISIDRO [11035020];5;70;10;60;80;28;100;9;4;98;37;65;76;59;45;15;62;82;85;1;14;16;22;2;45;57;39;25;48;44;64;64;80;47;98;2;82;24;91;21;4;37;50;6;46;37;4;55;14;41;55;48;72;(3-3);7;Chocó;RioQuito(Paimadó);Caribe;DariénRíoQuito;4584620;2181015;SIN DEFINIR;
11040010;TUTUNENDO [11040010];27;33;5;14;27;1;51;64;44;83;49;28;90;96;35;63;19;30;35;53;21;46;62;28;7;25;75;88;69;8;65;15;86;1;28;98;17;41;40;57;20;49;41;45;75;15;59;47;81;77;99;98;98;(3-4);5;Chocó;Quibdó;Caribe;DariénRíoBebaramáyotrosDirectosAtrato(md);4608205;2193870;TUTUNUENDO;
11045010;AEROPUERTO EL CARANO [11045010];16;84;17;81;67;64;87;82;2;84;27;53;94;43;39;29;86;22;67;42;62;10;36;6;96;76;25;19;9;18;4;82;22;51;44;18;87;76;56;58;1;98;86;62;95;80;7;1;76;100;33;48;95;(3-3);7;Chocó;Quibdó;Caribe;DariénRíoCabiyotrosDirectosAtrato(md);4596417;2188070;SAN FRANCISCO DE QUIBDÖ;
11045030;HUAPANGO [11045030];71;77;67;2;100;85;17;29;54;47;76;20;62;73;80;70;60;0;88;6;9;90;27;56;100;42;8;85;59;40;83;22;86;90;69;9;89;11;21;98;45;69;98;39;80;45;8;52;39;49;71;32;5;(3-3);7;Chocó;Quibdó;Caribe;DariénRíoCabiyotrosDirectosAtrato(md);4597581;2189108;SIN DEFINIR;
11050010;TAGACHI [11050010];11;2;18;18;58;57;80;43;64;87;91;98;10;4;14;20;22;40;90;60;46;46;66;33;77;63;87;94;53;2;73;72;49;79;35;1;15;57;96;44;6;20;60;28;29;62;36;93;59;73;70;53;97;(4-3);4;Chocó;Quibdó;Caribe;DariénDirectosAtratoentreRíosBebaramáyMurrí(md);4587581;2246950;TAGACHI;
11050020;BETE [11050020];59;38;3;47;23;82;4;1;87;50;81;33;27;27;41;36;49;59;71;85;54;67;86;61;13;6;35;76;16;38;39;53;17;34;47;66;69;24;36;93;42;76;49;97;10;77;17;67;23;35;6;16;76;(4-3);4;Chocó;MedioAtrato(Beté);Caribe;Darién;4581531;2221849;BETE;
11050030;BUEY EL [1105003];48;42;8;25;11;18;41;37;36;31;17;88;92;45;75;61;4;94;98;74;17;16;40;98;29;71;34;57;40;38;74;80;82;70;49;6;57;87;28;44;14;100;30;31;100;39;29;6;86;90;69;63;83;(4-3);4;Chocó;MedioAtrato(Beté);Caribe;DariénDirectosAtratoentreRíosQuitoyBojayá(mi);4577032;2233816;SIN DEFINIR;
11050040;CALAORRA [11050040];37;31;45;75;38;81;36;72;5;56;99;65;4;7;11;51;7;20;63;25;52;47;38;78;44;10;41;94;3;88;9;96;7;85;4;18;91;3;20;7;50;16;44;20;53;91;44;85;60;71;93;2;28;(3-3);7;Chocó;Quibdó;Caribe;DariénDirectosAtratoentreRíosQuitoyBojayá(mi);4573599;2196647;SIN DEFINIR;
11050060;ALTO DEL BUEY [11050060];90;70;9;39;18;79;2;38;72;20;14;13;58;12;59;43;28;98;14;83;71;78;0;97;94;0;92;41;24;7;31;16;42;28;44;11;26;53;58;49;52;7;68;98;74;84;10;24;91;6;87;66;85;(4-3);4;Chocó;MedioAtrato(Beté);Caribe;DariénDirectosAtratoentreRíosQuitoyBojayá(mi);4566586;2234537;SIN DEFINIR;
11060010;BUCHADO [11060010];95;83;1;5;58;23;52;33;19;63;49;66;32;75;1;82;85;91;4;31;21;100;4;31;72;12;55;34;64;74;48;35;44;82;83;62;89;85;79;11;0;21;87;28;40;24;61;17;42;41;64;61;99;(5-3);4;Antioquia;VigiaDelFuerte;Caribe;DariénDirectosAtratoentreRíosBebaramáyMurrí(md);4581950;2268942;BUCHADO;URABA
11070020;ROBLE EL [11070020];45;47;41;56;23;87;73;70;55;65;12;96;99;41;83;30;36;12;69;7;76;35;45;95;38;78;94;63;12;47;96;80;65;35;46;11;4;98;37;4;46;22;29;76;32;45;77;28;92;85;100;71;85;(5-4);2;Antioquia;Urrao;Caribe;DariénRíoMurrí;4642871;2258809;CROBUGO MEDIO;SUROESTE
11070030;CLARITA LA [11070030];73;64;77;19;73;25;80;9;2;16;33;97;49;3;46;57;52;53;58;61;89;55;97;76;79;29;9;3;70;11;19;15;28;1;12;54;59;36;42;39;83;58;92;54;96;8;4;95;96;38;25;21;83;(5-5);18;Antioquia;Urrao;Caribe;DariénRíoMurrí;4650764;2281694;LA CLARA;SUROESTE
11070040;URRAO [11070040];50;91;39;99;27;20;7;57;67;52;49;33;90;66;73;75;50;6;9;16;91;46;32;29;15;9;23;39;32;46;17;67;73;50;5;42;96;73;92;29;72;11;25;100;47;15;29;58;24;1;5;71;6;(5-4);2;Antioquia;Urrao;Caribe;DariénRíoMurrí;4649731;2258890;LA FLORIDA;SUROESTE
11070130;BRECHON EL [11070130];39;43;20;48;90;56;71;50;2;80;71;98;68;20;23;28;27;23;36;52;32;83;22;50;57;48;78;34;86;40;81;2;63;99;95;5;7;90;30;12;23;66;93;63;36;69;79;75;88;50;70;18;56;(4-5);12;Antioquia;Urrao;Caribe;DariénRíoMurrí;4664365;2236672;PENDERISON ARRIBA;SUROESTE
11075010;HONDA LA [11075010];65;80;61;10;55;8;88;1;51;88;37;46;3;74;12;43;43;44;13;40;83;84;45;95;3;63;94;70;36;3;3;24;98;40;43;34;27;56;69;76;50;69;83;84;6;78;83;23;38;7;35;2;38;(5-5);18;Antioquia;Urrao;Caribe;DariénRíoMurrí;4650700;2261436;LA VENTA;SUROESTE
11075020;URRAO [11075020];4;99;9;14;17;47;27;68;8;50;77;41;82;48;77;92;97;98;81;7;27;75;7;97;24;41;5;34;1;54;57;38;37;60;83;90;76;4;75;88;14;91;33;100;56;16;40;62;22;58;57;54;83;(5-5);18;Antioquia;Urrao;Caribe;DariénRíoMurrí;4652294;2254998;LA MAGDALENA;SUROESTE
11077030;PLAYA LA [11077030];55;65;50;71;31;26;5;89;86;85;81;4;8;98;44;84;53;37;15;63;0;45;42;38;62;21;55;97;41;19;50;73;96;81;25;77;27;95;10;37;32;20;53;29;54;48;61;67;57;9;0;90;61;(5-3);4;Antioquia;VigiaDelFuerte;Caribe;DariénRíoMurrí;4585356;2290695;VUELTA CORTADA;URABA
11080010;BELLAVISTA [11080010];75;86;72;93;96;89;41;72;35;1;21;34;30;78;18;61;75;6;46;51;28;95;31;1;54;87;38;76;18;85;89;28;31;44;27;13;81;34;67;71;58;99;74;94;70;13;23;7;94;16;13;79;99;(5-3);4;Chocó;Bojayá(Bellavista);Caribe;DariénDirectosAtratoentreRíosQuitoyBojayá(mi);4570310;2284442;SIN DEFINIR;
11085010;LOMA LA [11085010];10;1;8;16;39;24;25;26;59;83;42;65;64;79;82;66;29;99;82;14;84;72;40;100;22;21;93;39;55;34;51;17;94;63;52;22;35;11;1;7;21;88;14;30;97;76;5;32;74;40;16;57;47;(5-3);4;Chocó;Bojayá(Bellavista);Caribe;DariénRíoBojayá;4559442;2281666;SIN DEFINIR;
11090010;OPOGADO [11090010];49;44;42;43;63;5;46;75;66;93;96;14;28;73;10;100;9;22;16;3;32;25;78;15;72;58;55;90;33;90;56;99;18;66;14;10;98;52;91;35;25;15;92;8;78;54;45;95;13;100;9;93;84;(6-3);4;Chocó;Bojayá(Bellavista);Caribe;DariénRíoNapipíRíoOpogadó;4560867;2312581;SIN DEFINIR;
11100010;VIGIA DE CURVARADO [11100010];99;9;83;79;26;60;96;18;19;40;13;36;13;100;67;94;36;39;52;53;48;77;53;71;93;94;79;2;99;25;18;34;88;28;56;33;53;26;69;59;91;81;59;99;14;68;33;21;61;64;30;71;45;(6-3);4;Chocó;CarmenDelDarién(Curbaradó);Caribe;DariénRíoMurindóDirectosalAtrato;4567321;2342523;SIN DEFINIR;
11100020;DOMINGODO [11100020];81;59;14;27;30;94;73;39;60;23;30;70;49;53;70;44;85;90;54;84;97;39;84;10;12;29;42;52;24;17;70;59;66;49;73;72;92;95;9;75;31;32;6;49;1;68;54;75;75;48;97;67;85;(7-3);4;Chocó;CarmenDelDarién(Curbaradó);Caribe;DariénRíoSucio;4554875;2353338;LAS MERCEDES;
11100030;MURINDO [11100030];43;7;78;63;63;60;57;5;64;66;78;48;98;17;65;34;73;29;19;23;63;6;47;60;28;77;50;73;87;53;18;53;5;97;86;27;93;36;10;39;53;22;35;74;55;7;0;14;92;96;47;15;8;(6-3);4;Antioquia;Murindó;Caribe;DariénRíoMurindóDirectosalAtrato;4585685;2333143;CANAL;URABA
11105010;MURINDO [11105010];94;64;16;73;98;11;4;8;51;30;69;11;38;6;23;27;39;55;24;62;41;31;10;77;91;80;87;12;9;19;89;3;44;49;20;43;29;73;60;66;46;11;24;25;6;8;51;24;45;31;28;65;15;(6-3);4;Antioquia;Murindó;Caribe;DariénRíoMurindóDirectosalAtrato;4585656;2329452;MURINDO VIEJO;URABA
11110010;NORMAL SANTA TERESA [11110010];13;15;17;11;34;32;17;1;14;57;35;35;45;31;75;75;95;44;14;100;91;94;100;17;15;24;37;7;57;84;24;67;33;73;74;80;19;51;6;17;19;59;41;26;69;35;0;31;82;95;53;18;98;(6-5);8;Antioquia;Frontino;Caribe;DariénRíoSucio;4653688;2306453;;OCCIDENTE
