Id_mm_yy,Año,Mes,Temp_SST,Temp_media,Anomalía_ONI
ene-50,1950,1,26.18,26.18,-1.62
feb-50,1950,2,26.39,26.29,-1.32
mar-50,1950,3,26.95,26.51,-1.07
abr-50,1950,4,27.39,26.73,-1.11
may-50,1950,5,27.56,26.89,-1.37
jun-50,1950,6,27.21,26.95,-0.74
jul-50,1950,7,26.72,26.91,-0.44
ago-50,1950,8,26.3,26.84,-0.42
sep-50,1950,9,26.14,26.76,-0.41
oct-50,1950,10,26.01,26.69,-0.32
nov-50,1950,11,26.06,26.63,-0.6
dic-50,1950,12,26.18,26.59,-0.88
ene-51,1951,1,26.18,26.56,-0.92
feb-51,1951,2,26.39,26.55,-0.66
mar-51,1951,3,26.95,26.57,-0.04
abr-51,1951,4,27.39,26.63,0.2
may-51,1951,5,27.56,26.68,0.37
jun-51,1951,6,27.21,26.71,0.52
jul-51,1951,7,26.72,26.71,0.87
ago-51,1951,8,26.3,26.69,0.71
sep-51,1951,9,26.14,26.66,01.08
oct-51,1951,10,26.01,26.63,1.19
nov-51,1951,11,26.06,26.61,1.19
dic-51,1951,12,26.18,26.59,0.74
ene-52,1952,1,26.18,26.57,0.49
feb-52,1952,2,26.39,26.57,0.37
mar-52,1952,3,26.95,26.58,0.24
abr-52,1952,4,27.39,26.61,0.42
may-52,1952,5,27.56,26.64,0.23
jun-52,1952,6,27.21,26.66,-0.03
jul-52,1952,7,26.72,26.66,-0.2
ago-52,1952,8,26.3,26.65,0
sep-52,1952,9,26.14,26.64,0.21
oct-52,1952,10,26.01,26.62,0.25
nov-52,1952,11,26.06,26.6,-0.14
dic-52,1952,12,26.18,26.59,0.03
ene-53,1953,1,26.18,26.58,0.56
feb-53,1953,2,26.39,26.57,0.61
mar-53,1953,3,26.95,26.58,0.62
abr-53,1953,4,27.39,26.6,0.64
may-53,1953,5,27.56,26.63,0.71
jun-53,1953,6,27.21,26.64,0.9
jul-53,1953,7,26.72,26.64,0.7
ago-53,1953,8,26.3,26.64,0.63
sep-53,1953,9,26.14,26.62,0.85
oct-53,1953,10,26.01,26.61,0.86
nov-53,1953,11,26.06,26.6,0.82
dic-53,1953,12,26.18,26.59,0.83
ene-54,1954,1,26.18,26.58,0.8
feb-54,1954,2,26.39,26.58,0.64
mar-54,1954,3,26.95,26.59,-0.04
abr-54,1954,4,27.39,26.6,-0.74
may-54,1954,5,27.56,26.62,-0.45
jun-54,1954,6,27.21,26.63,-0.42
jul-54,1954,7,26.72,26.63,-0.62
ago-54,1954,8,26.3,26.63,-0.88
sep-54,1954,9,26.14,26.62,-1.03
oct-54,1954,10,26.01,26.61,-0.78
nov-54,1954,11,26.06,26.6,-0.5
dic-54,1954,12,26.18,26.59,-0.91
ene-55,1955,1,26.18,26.58,-0.56
feb-55,1955,2,26.39,26.58,-0.57
mar-55,1955,3,26.95,26.59,-0.72
abr-55,1955,4,27.39,26.6,-0.78
may-55,1955,5,27.56,26.61,-0.91
jun-55,1955,6,27.21,26.62,-0.67
jul-55,1955,7,26.72,26.62,-0.58
ago-55,1955,8,26.3,26.62,-0.8
sep-55,1955,9,26.14,26.61,-0.87
oct-55,1955,10,26.01,26.6,-1.6
nov-55,1955,11,26.06,26.6,-1.81
dic-55,1955,12,26.18,26.59,-1.61
ene-56,1956,1,26.33,26.59,-0.99
feb-56,1956,2,26.51,26.59,-0.74
mar-56,1956,3,27.01,26.59,-0.54
abr-56,1956,4,27.46,26.6,-0.6
may-56,1956,5,27.59,26.62,-0.46
jun-56,1956,6,27.29,26.62,-0.48
jul-56,1956,7,26.8,26.63,-0.58
ago-56,1956,8,26.32,26.62,-0.65
sep-56,1956,9,26.15,26.62,-0.43
oct-56,1956,10,26.03,26.61,-0.29
nov-56,1956,11,26.1,26.6,-0.54
dic-56,1956,12,26.18,26.6,-0.47
ene-57,1957,1,26.33,26.6,-0.29
feb-57,1957,2,26.51,26.59,0.02
mar-57,1957,3,27.01,26.6,0.45
abr-57,1957,4,27.46,26.61,0.77
may-57,1957,5,27.59,26.62,0.94
jun-57,1957,6,27.29,26.63,01.05
jul-57,1957,7,26.8,26.63,1.34
ago-57,1957,8,26.32,26.63,1.36
sep-57,1957,9,26.15,26.62,1.27
