Id;Año;mes;Anomalia_ONI;ENSO;Temp_SST;Temp_media
ene-50;1950;ene;-1,62;Niña;26,18;26,18
feb-50;1950;feb;-1,32;Niña;26,39;26,29
mar-50;1950;mar;-1,07;Niña;26,95;26,51
abr-50;1950;abr;-1,11;Niña;27,39;26,73
may-50;1950;may;-1,37;Niña;27,56;26,89
jun-50;1950;jun;-0,74;Niña;27,21;26,95
jul-50;1950;jul;-0,44;Neutral;26,72;26,91
ago-50;1950;ago;-0,42;Neutral;26,3;26,84
sep-50;1950;sep;-0,41;Neutral;26,14;26,76
oct-50;1950;oct;-0,32;Neutral;26,01;26,69
nov-50;1950;nov;-0,6;Niña;26,06;26,63
dic-50;1950;dic;-0,88;Niña;26,18;26,59
ene-51;1951;ene;-0,92;Niña;26,18;26,56
feb-51;1951;feb;-0,66;Niña;26,39;26,55
mar-51;1951;mar;-0,04;Neutral;26,95;26,57
abr-51;1951;abr;0,2;Neutral;27,39;26,63
may-51;1951;may;0,37;Neutral;27,56;26,68
jun-51;1951;jun;0,52;Niño;27,21;26,71
jul-51;1951;jul;0,87;Niño;26,72;26,71
ago-51;1951;ago;0,71;Niño;26,3;26,69
sep-51;1951;sep;1,08;Niño;26,14;26,66
oct-51;1951;oct;1,19;Niño;26,01;26,63
nov-51;1951;nov;1,19;Niño;26,06;26,61
dic-51;1951;dic;0,74;Niño;26,18;26,59
ene-52;1952;ene;0,49;Neutral;26,18;26,57
feb-52;1952;feb;0,37;Neutral;26,39;26,57
mar-52;1952;mar;0,24;Neutral;26,95;26,58
abr-52;1952;abr;0,42;Neutral;27,39;26,61
may-52;1952;may;0,23;Neutral;27,56;26,64
jun-52;1952;jun;-0,03;Neutral;27,21;26,66
jul-52;1952;jul;-0,2;Neutral;26,72;26,66
ago-52;1952;ago;0;Neutral;26,3;26,65
sep-52;1952;sep;0,21;Neutral;26,14;26,64
oct-52;1952;oct;0,25;Neutral;26,01;26,62
nov-52;1952;nov;-0,14;Neutral;26,06;26,6
dic-52;1952;dic;0,03;Neutral;26,18;26,59
ene-53;1953;ene;0,56;Niño;26,18;26,58
feb-53;1953;feb;0,61;Niño;26,39;26,57
mar-53;1953;mar;0,62;Niño;26,95;26,58
abr-53;1953;abr;0,64;Niño;27,39;26,6
may-53;1953;may;0,71;Niño;27,56;26,63
jun-53;1953;jun;0,9;Niño;27,21;26,64
jul-53;1953;jul;0,7;Niño;26,72;26,64
ago-53;1953;ago;0,63;Niño;26,3;26,64
sep-53;1953;sep;0,85;Niño;26,14;26,62
oct-53;1953;oct;0,86;Niño;26,01;26,61
nov-53;1953;nov;0,82;Niño;26,06;26,6
dic-53;1953;dic;0,83;Niño;26,18;26,59
ene-54;1954;ene;0,8;Niño;26,18;26,58
feb-54;1954;feb;0,64;Niño;26,39;26,58
mar-54;1954;mar;-0,04;Neutral;26,95;26,59
abr-54;1954;abr;-0,74;Niña;27,39;26,6
may-54;1954;may;-0,45;Neutral;27,56;26,62
jun-54;1954;jun;-0,42;Neutral;27,21;26,63
jul-54;1954;jul;-0,62;Niña;26,72;26,63
ago-54;1954;ago;-0,88;Niña;26,3;26,63
sep-54;1954;sep;-1,03;Niña;26,14;26,62
oct-54;1954;oct;-0,78;Niña;26,01;26,61
nov-54;1954;nov;-0,5;Neutral;26,06;26,6
dic-54;1954;dic;-0,91;Niña;26,18;26,59
ene-55;1955;ene;-0,56;Niña;26,18;26,58
feb-55;1955;feb;-0,57;Niña;26,39;26,58
mar-55;1955;mar;-0,72;Niña;26,95;26,59
abr-55;1955;abr;-0,78;Niña;27,39;26,6
may-55;1955;may;-0,91;Niña;27,56;26,61
jun-55;1955;jun;-0,67;Niña;27,21;26,62
jul-55;1955;jul;-0,58;Niña;26,72;26,62
ago-55;1955;ago;-0,8;Niña;26,3;26,62
sep-55;1955;sep;-0,87;Niña;26,14;26,61
oct-55;1955;oct;-1,6;Niña;26,01;26,6
nov-55;1955;nov;-1,81;Niña;26,06;26,6
dic-55;1955;dic;-1,61;Niña;26,18;26,59
ene-56;1956;ene;-0,99;Niña;26,33;26,59
feb-56;1956;feb;-0,74;Niña;26,51;26,59
mar-56;1956;mar;-0,54;Niña;27,01;26,59
abr-56;1956;abr;-0,6;Niña;27,46;26,6
may-56;1956;may;-0,46;Neutral;27,59;26,62
jun-56;1956;jun;-0,48;Neutral;27,29;26,62
jul-56;1956;jul;-0,58;Niña;26,8;26,63
ago-56;1956;ago;-0,65;Niña;26,32;26,62
sep-56;1956;sep;-0,43;Neutral;26,15;26,62
oct-56;1956;oct;-0,29;Neutral;26,03;26,61
nov-56;1956;nov;-0,54;Niña;26,1;26,6
dic-56;1956;dic;-0,47;Neutral;26,18;26,6
ene-57;1957;ene;-0,29;Neutral;26,33;26,6
feb-57;1957;feb;0,02;Neutral;26,51;26,59
mar-57;1957;mar;0,45;Neutral;27,01;26,6
abr-57;1957;abr;0,77;Niño;27,46;26,61
may-57;1957;may;0,94;Niño;27,59;26,62
jun-57;1957;jun;1,05;Niño;27,29;26,63
jul-57;1957;jul;1,34;Niño;26,8;26,63
ago-57;1957;ago;1,36;Niño;26,32;26,63
sep-57;1957;sep;1,27;Niño;26,15;26,62
oct-57;1957;oct;1,37;Niño;26,03;26,61
nov-57;1957;nov;1,52;Niño;26,1;26,61
dic-57;1957;dic;1,71;Niño;26,18;26,61
ene-58;1958;ene;1,98;Niño;26,33;26,6
feb-58;1958;feb;1,72;Niño;26,51;26,6
mar-58;1958;mar;1,26;Niño;27,01;26,61
abr-58;1958;abr;0,81;Niño;27,46;26,61
may-58;1958;may;0,71;Niño;27,59;26,62
jun-58;1958;jun;0,69;Niño;27,29;26,63
jul-58;1958;jul;0,51;Niño;26,8;26,63
ago-58;1958;ago;0,52;Niño;26,32;26,63
sep-58;1958;sep;0,25;Neutral;26,15;26,62
oct-58;1958;oct;0,41;Neutral;26,03;26,62
nov-58;1958;nov;0,65;Niño;26,1;26,61
dic-58;1958;dic;0,44;Neutral;26,18;26,61
ene-59;1959;ene;0,74;Niño;26,33;26,61
feb-59;1959;feb;0,67;Niño;26,51;26,61
mar-59;1959;mar;0,46;Neutral;27,01;26,61
abr-59;1959;abr;0,42;Neutral;27,46;26,62
may-59;1959;may;0,1;Neutral;27,59;26,63
jun-59;1959;jun;0,07;Neutral;27,29;26,63
jul-59;1959;jul;-0,37;Neutral;26,8;26,63
ago-59;1959;ago;-0,24;Neutral;26,32;26,63
sep-59;1959;sep;-0,23;Neutral;26,15;26,63
oct-59;1959;oct;0,2;Neutral;26,03;26,62
nov-59;1959;nov;-0,06;Neutral;26,1;26,62
dic-59;1959;dic;0;Neutral;26,18;26,61
ene-60;1960;ene;-0,07;Neutral;26,33;26,61
feb-60;1960;feb;-0,22;Neutral;26,51;26,61
mar-60;1960;mar;-0,02;Neutral;27,01;26,61
abr-60;1960;abr;0,03;Neutral;27,46;26,62
may-60;1960;may;0,08;Neutral;27,59;26,63
jun-60;1960;jun;-0,06;Neutral;27,29;26,63
jul-60;1960;jul;0,07;Neutral;26,8;26,63
ago-60;1960;ago;0,36;Neutral;26,32;26,63
sep-60;1960;sep;0,28;Neutral;26,15;26,63
oct-60;1960;oct;0,18;Neutral;26,03;26,62
nov-60;1960;nov;0,15;Neutral;26,1;26,62
dic-60;1960;dic;0,04;Neutral;26,18;26,62
ene-61;1961;ene;-0,04;Neutral;26,27;26,61
feb-61;1961;feb;0,1;Neutral;26,45;26,61
mar-61;1961;mar;0,02;Neutral;26,92;26,62
abr-61;1961;abr;0;Neutral;27,37;26,62
may-61;1961;may;0,26;Neutral;27,49;26,63
jun-61;1961;jun;0,44;Neutral;27,22;26,63
jul-61;1961;jul;0,11;Neutral;26,76;26,63
ago-61;1961;ago;-0,12;Neutral;26,3;26,63
sep-61;1961;sep;-0,38;Neutral;26,16;26,63
oct-61;1961;oct;-0,38;Neutral;26,09;26,62
nov-61;1961;nov;-0,01;Neutral;26,08;26,62
dic-61;1961;dic;-0,16;Neutral;26,14;26,62
ene-62;1962;ene;-0,3;Neutral;26,27;26,61
feb-62;1962;feb;-0,26;Neutral;26,45;26,61
mar-62;1962;mar;-0,11;Neutral;26,92;26,61
abr-62;1962;abr;-0,24;Neutral;27,37;26,62
may-62;1962;may;-0,44;Neutral;27,49;26,63
jun-62;1962;jun;-0,14;Neutral;27,22;26,63
jul-62;1962;jul;0;Neutral;26,76;26,63
ago-62;1962;ago;0,02;Neutral;26,3;26,63
sep-62;1962;sep;-0,23;Neutral;26,16;26,62
oct-62;1962;oct;-0,12;Neutral;26,09;26,62
nov-62;1962;nov;-0,32;Neutral;26,08;26,62
dic-62;1962;dic;-0,47;Neutral;26,14;26,61
ene-63;1963;ene;-0,5;Neutral;26,27;26,61
feb-63;1963;feb;-0,23;Neutral;26,45;26,61
mar-63;1963;mar;0,26;Neutral;26,92;26,61
abr-63;1963;abr;0,41;Neutral;27,37;26,62
may-63;1963;may;0,14;Neutral;27,49;26,62
jun-63;1963;jun;0,39;Neutral;27,22;26,63
jul-63;1963;jul;1,02;Niño;26,76;26,63
ago-63;1963;ago;1,17;Niño;26,3;26,63
sep-63;1963;sep;1,23;Niño;26,16;26,62
oct-63;1963;oct;1,26;Niño;26,09;26,62
nov-63;1963;nov;1,39;Niño;26,08;26,62
dic-63;1963;dic;1,47;Niño;26,14;26,61
ene-64;1964;ene;1,06;Niño;26,27;26,61
feb-64;1964;feb;0,68;Niño;26,45;26,61
mar-64;1964;mar;0,1;Neutral;26,92;26,61
abr-64;1964;abr;-0,42;Neutral;27,37;26,62
may-64;1964;may;-0,67;Niña;27,49;26,62
jun-64;1964;jun;-0,64;Niña;27,22;26,63
jul-64;1964;jul;-0,43;Neutral;26,76;26,63
ago-64;1964;ago;-0,72;Niña;26,3;26,62
sep-64;1964;sep;-0,84;Niña;26,16;26,62
oct-64;1964;oct;-0,73;Niña;26,09;26,62
nov-64;1964;nov;-0,82;Niña;26,08;26,62
dic-64;1964;dic;-0,92;Niña;26,14;26,61
ene-65;1965;ene;-0,61;Niña;26,27;26,61
feb-65;1965;feb;-0,25;Neutral;26,45;26,61
mar-65;1965;mar;0,03;Neutral;26,92;26,61
abr-65;1965;abr;0,01;Neutral;27,37;26,62
may-65;1965;may;0,5;Neutral;27,49;26,62
jun-65;1965;jun;0,86;Niño;27,22;26,62
jul-65;1965;jul;1,14;Niño;26,76;26,62
ago-65;1965;ago;1,66;Niño;26,3;26,62
sep-65;1965;sep;1,84;Niño;26,16;26,62
oct-65;1965;oct;2,06;Niño;26,09;26,62
nov-65;1965;nov;2,03;Niño;26,08;26,62
dic-65;1965;dic;1,81;Niño;26,14;26,61
ene-66;1966;ene;1,31;Niño;26,36;26,61
feb-66;1966;feb;1;Niño;26,56;26,61
mar-66;1966;mar;1,19;Niño;27,02;26,61
abr-66;1966;abr;0,76;Niño;27,4;26,62
may-66;1966;may;0,02;Neutral;27,53;26,62
jun-66;1966;jun;0,29;Neutral;27,35;26,63
jul-66;1966;jul;0,42;Neutral;26,9;26,63
ago-66;1966;ago;0,02;Neutral;26,46;26,63
sep-66;1966;sep;-0,07;Neutral;26,34;26,62
oct-66;1966;oct;-0,11;Neutral;26,33;26,62
nov-66;1966;nov;-0,12;Neutral;26,35;26,62
dic-66;1966;dic;-0,31;Neutral;26,33;26,62
ene-67;1967;ene;-0,48;Neutral;26,36;26,62
feb-67;1967;feb;-0,44;Neutral;26,56;26,62
mar-67;1967;mar;-0,51;Niña;27,02;26,62
abr-67;1967;abr;-0,66;Niña;27,4;26,62
may-67;1967;may;-0,18;Neutral;27,53;26,63
jun-67;1967;jun;0,12;Neutral;27,35;26,63
jul-67;1967;jul;0,06;Neutral;26,9;26,63
ago-67;1967;ago;-0,03;Neutral;26,46;26,63
sep-67;1967;sep;-0,49;Neutral;26,34;26,63
oct-67;1967;oct;-0,36;Neutral;26,33;26,63
nov-67;1967;nov;-0,28;Neutral;26,35;26,63
dic-67;1967;dic;-0,38;Neutral;26,33;26,63
ene-68;1968;ene;-0,66;Niña;26,36;26,63
feb-68;1968;feb;-0,86;Niña;26,56;26,63
mar-68;1968;mar;-0,68;Niña;27,02;26,63
abr-68;1968;abr;-0,3;Neutral;27,4;26,63
may-68;1968;may;-0,34;Neutral;27,53;26,64
jun-68;1968;jun;0,52;Niño;27,35;26,64
jul-68;1968;jul;0,66;Niño;26,9;26,64
ago-68;1968;ago;0,54;Niño;26,46;26,64
sep-68;1968;sep;0,38;Neutral;26,34;26,64
oct-68;1968;oct;0,42;Neutral;26,33;26,64
nov-68;1968;nov;0,85;Niño;26,35;26,63
dic-68;1968;dic;0,94;Niño;26,33;26,63
ene-69;1969;ene;1,14;Niño;26,36;26,63
feb-69;1969;feb;1,31;Niño;26,56;26,63
mar-69;1969;mar;0,81;Niño;27,02;26,63
abr-69;1969;abr;0,73;Niño;27,4;26,64
may-69;1969;may;0,76;Niño;27,53;26,64
jun-69;1969;jun;0,35;Neutral;27,35;26,64
jul-69;1969;jul;0,18;Neutral;26,9;26,64
ago-69;1969;ago;0,56;Niño;26,46;26,64
sep-69;1969;sep;0,81;Niño;26,34;26,64
oct-69;1969;oct;1,01;Niño;26,33;26,64
nov-69;1969;nov;0,76;Niño;26,35;26,64
dic-69;1969;dic;0,66;Niño;26,33;26,64
ene-70;1970;ene;0,48;Neutral;26,36;26,64
feb-70;1970;feb;0,41;Neutral;26,56;26,64
mar-70;1970;mar;0,13;Neutral;27,02;26,64
abr-70;1970;abr;0,34;Neutral;27,4;26,64
may-70;1970;may;0,1;Neutral;27,53;26,65
jun-70;1970;jun;-0,31;Neutral;27,35;26,65
jul-70;1970;jul;-0,7;Niña;26,9;26,65
ago-70;1970;ago;-0,87;Niña;26,46;26,65
sep-70;1970;sep;-0,7;Niña;26,34;26,65
oct-70;1970;oct;-0,73;Niña;26,33;26,65
nov-70;1970;nov;-0,78;Niña;26,35;26,65
dic-70;1970;dic;-1,06;Niña;26,33;26,64
ene-71;1971;ene;-1,6;Niña;26,42;26,64
feb-71;1971;feb;-1,42;Niña;26,61;26,64
mar-71;1971;mar;-1,13;Niña;27,06;26,64
abr-71;1971;abr;-0,8;Niña;27,44;26,65
may-71;1971;may;-0,61;Niña;27,56;26,65
jun-71;1971;jun;-0,78;Niña;27,38;26,65
jul-71;1971;jul;-0,82;Niña;26,94;26,66
ago-71;1971;ago;-0,79;Niña;26,54;26,65
sep-71;1971;sep;-0,71;Niña;26,42;26,65
oct-71;1971;oct;-0,96;Niña;26,43;26,65
nov-71;1971;nov;-0,88;Niña;26,43;26,65
dic-71;1971;dic;-1,03;Niña;26,4;26,65
ene-72;1972;ene;-0,78;Niña;26,42;26,65
feb-72;1972;feb;-0,3;Neutral;26,61;26,65
mar-72;1972;mar;0,03;Neutral;27,06;26,65
abr-72;1972;abr;0,45;Neutral;27,44;26,65
may-72;1972;may;0,75;Niño;27,56;26,66
jun-72;1972;jun;0,8;Niño;27,38;26,66
jul-72;1972;jul;1,2;Niño;26,94;26,66
ago-72;1972;ago;1,4;Niño;26,54;26,66
sep-72;1972;sep;1,52;Niño;26,42;26,66
oct-72;1972;oct;1,83;Niño;26,43;26,66
nov-72;1972;nov;2,17;Niño;26,43;26,66
dic-72;1972;dic;2,28;Niño;26,4;26,66
ene-73;1973;ene;1,92;Niño;26,42;26,66
feb-73;1973;feb;1,34;Niño;26,61;26,66
mar-73;1973;mar;0,49;Neutral;27,06;26,66
abr-73;1973;abr;-0,19;Neutral;27,44;26,66
may-73;1973;may;-0,59;Niña;27,56;26,66
jun-73;1973;jun;-0,83;Niña;27,38;26,67
jul-73;1973;jul;-1,18;Niña;26,94;26,67
ago-73;1973;ago;-1,31;Niña;26,54;26,67
sep-73;1973;sep;-1,36;Niña;26,42;26,67
oct-73;1973;oct;-1,69;Niña;26,43;26,67
nov-73;1973;nov;-2,09;Niña;26,43;26,66
dic-73;1973;dic;-2,06;Niña;26,4;26,66
ene-74;1974;ene;-1,95;Niña;26,42;26,66
feb-74;1974;feb;-1,5;Niña;26,61;26,66
mar-74;1974;mar;-1,21;Niña;27,06;26,66
abr-74;1974;abr;-0,97;Niña;27,44;26,67
may-74;1974;may;-0,91;Niña;27,56;26,67
jun-74;1974;jun;-0,85;Niña;27,38;26,67
jul-74;1974;jul;-0,55;Niña;26,94;26,67
ago-74;1974;ago;-0,21;Neutral;26,54;26,67
sep-74;1974;sep;-0,35;Neutral;26,42;26,67
oct-74;1974;oct;-0,66;Niña;26,43;26,67
nov-74;1974;nov;-0,82;Niña;26,43;26,67
dic-74;1974;dic;-0,78;Niña;26,4;26,67
ene-75;1975;ene;-0,32;Neutral;26,42;26,67
feb-75;1975;feb;-0,53;Niña;26,61;26,67
mar-75;1975;mar;-0,86;Niña;27,06;26,67
abr-75;1975;abr;-0,58;Niña;27,44;26,67
may-75;1975;may;-0,76;Niña;27,56;26,68
jun-75;1975;jun;-1,15;Niña;27,38;26,68
jul-75;1975;jul;-1,04;Niña;26,94;26,68
ago-75;1975;ago;-1,2;Niña;26,54;26,68
sep-75;1975;sep;-1,37;Niña;26,42;26,68
oct-75;1975;oct;-1,54;Niña;26,43;26,68
nov-75;1975;nov;-1,38;Niña;26,43;26,68
dic-75;1975;dic;-1,73;Niña;26,4;26,67
ene-76;1976;ene;-1,84;Niña;26,39;26,67
feb-76;1976;feb;-1,09;Niña;26,59;26,67
mar-76;1976;mar;-0,58;Niña;27,04;26,67
abr-76;1976;abr;-0,53;Niña;27,42;26,68
may-76;1976;may;-0,31;Neutral;27,51;26,68
jun-76;1976;jun;0;Neutral;27,35;26,68
jul-76;1976;jul;0,17;Neutral;26,95;26,68
ago-76;1976;ago;0,38;Neutral;26,59;26,68
sep-76;1976;sep;0,5;Neutral;26,51;26,68
oct-76;1976;oct;0,98;Niño;26,48;26,68
nov-76;1976;nov;0,95;Niño;26,46;26,68
dic-76;1976;dic;0,66;Niño;26,43;26,68
ene-77;1977;ene;0,93;Niño;26,39;26,68
feb-77;1977;feb;0,55;Niño;26,59;26,68
